organic_core,metal_node,topology
sym_3_vae_BR429,sym_24_mc_13,rht
sym_5_vae_BR911,sym_7_mc_4,tpt
sym_5_vae_196,sym_7_mc_4,tpt
sym_5_on_11,sym_7_mc_4,stp
sym_5_on_11,sym_9_mc_5,soc
sym_5_vae_298,sym_12_mc_11,ftw
sym_3_on_2,sym_8_mc_9,the
sym_5_vae_795,sym_9_mc_5,soc
sym_5_vae_317,sym_7_mc_4,tpt
sym_5_vae_BR3264,sym_8_mc_8,scu
sym_5_vae_84,sym_8_mc_8,csq
sym_3_vae_BR429,sym_8_mc_7,the
sym_5_on_10,sym_8_mc_8,csq
sym_5_vae_84,sym_8_mc_7,csq
sym_3_vae_724,sym_8_mc_7,the
sym_3_vae_45,sym_8_mc_8,the
sym_3_vae_456,sym_8_mc_8,the
sym_5_vae_304,sym_9_mc_5,soc
sym_3_vae_1168,sym_8_mc_8,the
sym_5_vae_1526,sym_9_mc_5,soc
None,sym_5_mc_2,nbob
sym_5_vae_196,sym_8_mc_9,csq
sym_5_vae_304,sym_8_mc_9,csq
sym_5_on_12,sym_8_mc_9,csq
sym_5_vae_196,sym_9_mc_5,soc
sym_3_on_0,sym_8_mc_7,the
sym_3_on_1,sym_24_mc_13,rht
sym_4_on_7,sym_9_mc_5,iac
sym_4_vae_645,sym_8_mc_8,flu
sym_3_vae_192,sym_6_mc_3,pyr
sym_5_vae_304,sym_12_mc_11,ftw
sym_3_vae_762,sym_6_mc_3,pyr
sym_5_vae_1038,sym_8_mc_7,scu
sym_5_vae_1526,sym_12_mc_11,ftw
sym_4_vae_153,sym_9_mc_5,iac
sym_3_on_2,sym_8_mc_8,the
sym_4_vae_153,sym_8_mc_7,flu
sym_5_vae_1038,sym_8_mc_8,scu
sym_3_vae_403,sym_9_mc_5,spn
sym_3_vae_251,sym_8_mc_8,the
sym_6_mc_3,sym_7_mc_4,nia
sym_5_vae_BR3264,sym_8_mc_7,csq
sym_5_vae_434,sym_12_mc_11,ftw
sym_5_vae_298,sym_7_mc_4,tpt
sym_16_mc_6,sym_8_mc_9,ocu
sym_3_vae_45,sym_6_mc_3,pyr
sym_3_on_5,sym_8_mc_7,the
sym_5_vae_196,sym_8_mc_7,scu
sym_5_on_13,sym_9_mc_5,soc
sym_3_vae_2082,sym_8_mc_9,the
sym_5_vae_84,sym_8_mc_9,csq
sym_5_vae_1526,sym_7_mc_4,tpt
sym_5_vae_795,sym_12_mc_11,ftw
sym_3_vae_289,sym_6_mc_3,pyr
sym_5_vae_BR3264,sym_8_mc_7,scu
sym_4_vae_2723,sym_8_mc_8,flu
sym_3_vae_1168,sym_6_mc_3,pyr
sym_3_vae_724,sym_24_mc_13,rht
sym_5_vae_298,sym_9_mc_5,soc
sym_3_on_2,sym_24_mc_13,rht
sym_16_mc_14,sym_8_mc_9,ocu
sym_5_vae_795,sym_8_mc_8,csq
sym_3_vae_1687,sym_9_mc_5,spn
sym_5_on_12,sym_8_mc_8,scu
sym_5_vae_317,sym_7_mc_4,stp
sym_4_on_6,sym_9_mc_5,iac
sym_5_vae_BR911,sym_8_mc_8,scu
sym_5_on_13,sym_12_mc_11,ftw
sym_5_vae_1526,sym_8_mc_9,csq
sym_3_vae_1168,sym_8_mc_9,the
sym_3_vae_251,sym_8_mc_7,the
sym_3_vae_561,sym_8_mc_7,the
sym_3_on_5,sym_6_mc_3,pyr
sym_3_vae_289,sym_8_mc_9,the
sym_5_vae_70,sym_8_mc_7,scu
sym_3_vae_210,sym_6_mc_3,pyr
